ಅಂಕದ ಪರದೆ ಏಳು	ಪ್ರಾರಂಭವಾಗು, ಆರಂಭವಾಗು
ಚಾಪೆ ಕೆಳಗೆ ತೂರು	ಅತಿಯಾದ ಬುದ್ದಿವಂತಿಕೆ ತೋರು
ಚಾಪೆ ಹಿಡಿ	ಖಾಯಿಲೆಯಿಂದ ಮಲಗು
ಚಿಗಿತುಕೊಳ್ಳು	ಜೋರಾಗು, ಹೆಚ್ಚು ಮಾತನಾಡು
ಚಿತ್ರಹಿಂಸೆ	ಬಹಳಷ್ಟು ಕಷ್ಟಕೊಡು
ಚಿತ್ರಾನ್ನ ಸ್ಥಿತಿ	ಗತಿಯಿಲ್ಲದ ಸ್ಥಿತಿ
ಚಿದಂಬರ ರಹಸ್ಯ	ಬಿಡಿಸಲಾಗದ ಗುಟ್ಟು
ಚಿನ್ನದ ಕತ್ತಿ	ಬಹಳ ಪ್ರಿಯವಾದುದು
ಚಿನ್ನದ ಗಣಿ	ಆದಾಯದ ಮೂಲ
ಚಿನ್ನದ ಗುಣ	ಉತ್ತಮ ಗುಣ, ಒಳ್ಳೆಯತನ
ಚಿನ್ನದ ಸೂಜಿ	ತುಂಬ ಪ್ರಿಯವಾದುದು, ಬಹಳ ಬೇಕಾದ ವಸ್ತು
ಚುಚ್ಚಿಕೊಡು	ಚಾಡಿ ಹೇಳು
ಚುರುಕು ಮುಟ್ಟಿಸು	ಎಚ್ಚರಿಕೆ ಕೊಡು
ಚುರುಕು ಮೆಣಸಿನಕಾಯಿ	ಚಟುವಟಿಕೆಯಿಂದ ಕೂಡಿರುವವ
ಚೇಳುಕುಟುಕಿದಂತಾಗು	ಅಪಾರ ನೋವುಂಟಾಗು
ಛತ್ರಿ	ಕಿಲಾಡಿ, ಚಾಣಾಕ್ಷ
ಛೇ ಅನ್ನಿಸಿಕೋ	ಅವಮಾನಕ್ಕೆ ಗುರಿಯಾಗು
ಭೂ ಬಿಡು	ಮೇಲೆ ಬೀಳಲು ಹುರಿದುಂಬಿಸು
ಜಂಗು ಹಿಡಿ	ನಿಷ್ಕ್ರಿಯನಾಗು, ಜಡವಾಗು
ಜಂಬದ ಕೋಳಿ	ಆಡಂಬರದ ವ್ಯಕ್ತಿ
ಜಗತ್ತು ಮುಳುಗು	ಪ್ರಳಯವಾಗು, ಸರ್ವನಾಶವಾಗು
ಜಟಾಯು	ವೃದ್ಧ ವ್ಯಕ್ತಿ, ಹಿರಿಯ ವ್ಯಕ್ತಿ
ಜಡಭರತ	ಮಂದಮತಿ, ಬುದ್ದಿಯಿಲ್ಲದವ
ಜನ್ಮ ಜಾಲಾಡು	ವಿಚಾರಿಸಿಕೊಳ್ಳು, ತರಾಟೆಗೆ ತೆಗೆದುಕೊಳ್ಳು
ಜನ್ಮ ನೀಗು	ಜೀವನವನ್ನು ನೂರು
ಜಪ ಮಾಡು	ಒಂದೇ ಸವನೆ ಚಿಂತಿಸು
ಜಾಗಟೆ ಬಾರಿಸು	ಪ್ರಚಾರ ಮಾಡು
ಜಾಗ ಹಿಡಿ	ಮೊದಲೇ ಬಂದು ಕುಳಿತುಕೊಳ್ಳು
ಜಾಡು ಹಿಡಿ	ಸುಳಿವು ಹಿಡಿ, ಪತ್ತೆ ಮಾಡು
ಜಾಣ ಕಿವುಡು	ಕೇಳಿದರೂ ಕೇಳದಂತಿರುವುದು
ಜಾಪಾಳ ಮಾತ್ರೆ ಕೊಡು	ಪಾಠ ಕಲಿಸು, ಬುದ್ದಿ ಕಲಿಸು
ಜಾಲಬೀಸು	ವಂಚಿಸಲು ಯತ್ನಿಸು
ಜಿಗಣೆ	ಗಟ್ಟಿಯಾಗಿ ಹಿಡಿಯುವವ, ಬಡಪೆಟ್ಟಿಗೆ ಬಗ್ಗದಿರು
ಜೀವ ಎಳೆ	ಮನಸ್ಸನ್ನು ಸೆಳೆ
ಜೀವಕ್ಕೆ ಎರವಾಗು	ಜೀವಕ್ಕೆ ಅಪಾಯ ತಗುಲು
ಜೀವಕ್ಕೆ ಬರು	ಅಪಾಯವುಂಟಾಗು
ಜೀವಗಳ್ಳ	ಹೇಡಿ, ಪುಕ್ಕಲ
ಜೀವ ಜಾಲಾಡು	ಅತಿಯಾಗಿ ದೂಷಿಸು
ಜೀವತುಂಬು	ಚೈತನ್ಯ ನೀಡು, ಶಕ್ತಿಕೊಡು
ಜೀವ ತೆಗೆ	ಹಿಂಸಿಸು, ಪೀಡಿಸು, ತೊಂದರೆ ಕೊಡು
ಜೀವ ತೇಯು	ಶ್ರಮಪಡು, ಬಹಳ ಕಷ್ಟಪಡು
ಜೀವದಾನ ಮಾಡು	ಮರುಜೀವ ನೀಡು, ಬದುಕಿಸು
ಜೀವನಾಡಿ	ಮುಖ್ಯ ಆಧಾರ
ಜೀವ ಬರು	ಧೈರ್ಯವುಂಟಾಗು
ಜೀವ ಬಿಡು	ತುಂಬ ಆಸೆ ಪಡು
ಜೀವ ಸವೆಸು	ಬಹಳ ಶ್ರಮಪಡು, ತುಂಬಾ ಕಷ್ಟಪಡು
ಜೀವ ಹಿಂಡು	ಬಹಳ ತೊಂದರೆ ಕೊಡು
ಜೀವ ಹಿಡಿ	ಸಹನೆಯಿಂದ ಇರು, ತಾಳ್ಮೆಯಿಂದ ಇರು
ಜುಟ್ಟು ಕೈಗೆ ಸಿಗು	ಹಿಡಿತಕ್ಕೆ ಬರು, ಅಧೀನವಾಗು
ಜುಟ್ಟು ಕೈಯ್ಯಲ್ಲಿರು	ಹಿಡಿತದಲ್ಲಿರು, ಅಂಕೆಯಲ್ಲಿ ಇರು
ಜುಟ್ಟು ಹಾರಿಸು	ಅಹಂಕಾರ ಮುರಿ, ತೇಜೋವಧೆ ಮಾಡು
ಜೇಬಿಗೆ ಹಾಕು	ಲಂಚ ನೀಡು
ಜೋತು ಬೀಳು	ಅವಲಂಬಿಸು, ಬೇರೆಯವರನ್ನು ಆಧರಿಸು
ಜೋಬಿಗೆ ಹಾಕಿಕೊಳ್ಳು	ವಶಪಡಿಸಿಕೊಳ್ಳು. ಒಳಗೆ ಹಾಕಿಕೊಳ್ಳುವುದು
ಜೋಲುಮುಖ ಹಾಕು	ಮುಖ ಇಳಿಬಿಡು, ನಿರುತ್ಸಾಹಿತನಾಗು
ಜೋಲು ಮೋರೆ ಹಾಕು	ನಿರುತ್ಸಾಹ ಹೊಂದು
ಜೋಳದ ಪಾಳಿ	ಅನ್ನದ ಋಣ
ಝಂಡಾ ಊರು	ಸ್ಥಿರವಾಗಿ ನಿಲ್ಲು
ಝಂಡಾ ಹೊಡೆ	ನೆಲೆನಿಲ್ಲು
ಟಬರು ನಡೆಸು	ಅಧಿಕಾರ ಚಲಾಯಿಸು, ದರ್ಪವನ್ನು ತೋರಿಸು
ಟಮಕಿ ಸಾರು	ಎಲ್ಲರಿಗೂ ತಿಳಿಯ ಪಡಿಸು, ಪ್ರಚಾರ ಮಾಡು
ಟಿಕೇಟು ಕೊಡು	ಒತ್ತಾಯಪೂರ್ವಕವಾಗಿ ಹೊರಡಿಸು
ಟೂ ಬಿಡು	ಸ್ನೇಹ ಬಿಡು, ಮಾತನಾಡದಿರು
ಟೊಂಕ ಕಟ್ಟಿ ನಿಲ್ಲು	ಸಿದ್ಧನಾಗು
ಟೊಪ್ಪಿಗೆ ಹಾರಿಸು	ಅಪಮಾನಗೊಳಿಸು
ಟೋಪಿ ಬೀಳು	ಮೋಸಹೋಗು
ಟೋಪಿ ಹಾಕು	ಮೋಸ ಮಾಡು
ಟ್ಯೂಬ್‌ ಲೈಟ್ ತಲೆಯವನು	ನಿಧಾನವಾಗಿ ತಿಳಿದುಕೊಳ್ಳುವವ
ಠಿಕಾಣಿ ಹಾಕು	ನೆಲೆ ನಿಲ್ಲು ತಂಗು
ಠೇವಣಿ ಕಳೆದುಕೊಳ್ಳು	ನಾಶವಾಗು, ಬೆಲೆ ಕಳೆದುಕೊಳ್ಳು
ಠೋಕರ ಹಾಕು	ಮೋಸ ಮಾಡು
ಡಂಗುರ ಸಾರು	ಬಹಿರಂಗ ಪಡಿಸು
ಡಂಗುರ ಹೊಡೆ	ಎಲ್ಲರಿಗೂ ತಿಳಿಯುವಂತೆ ಮಾಡು
ಡುಂಕಿ ಹೊಡೆ	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಅನುತ್ತೀರ್ಣನಾಗು
ಡೊಗರು ಬೀಳು	ನಂಬಿಕೆ ಕೆಡು
ಡೊಗ್ಗಾಲು ಹಾಕು	ಬಹಳ ಶ್ರಮಪಡು
ಡೋಂಗಿ ಬಿಡು	ಸುಳ್ಳು ಹೇಳು
ಢಾಣಾ ಡಂಗುರ	ಎಲ್ಲರಿಗೂ ವಿಷಯ ತಿಳಿಸು, ಬಹಿರಂಗ ಪಡಿಸು
ಧೋಂಗಿ ಮಾಡು	ನಟಿಸು
ತಂದು ಹಾಕುವುದು	ಚಾಡಿ ಹೇಳಿ ಜಗಳ ತಂದಿಕ್ಕುವುದು
ತಂಬಿಗೆ ಕೈಗೆ ಬರು	ಬಡತನ ಬರು, ಶ್ರೀಮಂತಿಕೆ ಹೊರಟುಹೋಗುವುದು
ತಂಬುಲ ತಿನ್ನು	ಎಂಜಲು ತಿನ್ನು
ತಕರಾರು ತೆಗೆ	ಆಕ್ಷೇಪಿಸು, ವಿರೋಧಿಸು
ತಗಾದಿ ಹಚ್ಚು	ಒತ್ತಾಯ ಮಾಡು
ತಗುಲಿಸು	ಚುರುಕು ಮುಟ್ಟಿಸು
ತಣ್ಣಗಾಗು	ತೆಪ್ಪಗಾಗು, ಸಾಯು
ತಣ್ಣಗಿರು	ಸುಖವಾಗಿರು
ತಣ್ಣೀರೆರೆಚು	ಉತ್ಸಾಹಕ್ಕೆ ಕುಂದು ಬರಿಸು
ತಪಸ್ಸು ಮಾಡು	ಬಹಳ ಕಷ್ಟಪಡು
ತರಾಟೆಗೆ ತೆಗೆದುಕೊಳ್ಳು	ಬಹಳಷ್ಟು ಆಕ್ಷೇಪಿಸು
ತಲೆ ಅಪ್ಪಳಿಸು	ಆಕ್ರೋಶ ತೋರಿಸು
ತಲೆ ಓಡಿಸು	ಜಾಣತನ ಬಳಸು, ಬುದ್ದಿ ಉಪಯೋಗಿಸು
ತಲೆ ಕಾಯಿ	ಮರ್ಯಾದೆ ಉಳಿಸು
ತಲೆಕೆಡಿಸು	ಅಭಿಪ್ರಾಯಗಳು ಬದಲಾಗುವಂತೆ ಮಾಡು
ತಲೆಕೆಡು	ಬುದ್ಧಿಭ್ರಮಣೆಯಾಗು
ತಲೆ ಕೆಳಗಾಗು	ವ್ಯತ್ಯಾಸವಾಗು, ಅಸ್ತವ್ಯಸ್ತವಾಗು
ತಲೆಗೆ ಕಟ್ಟು	ಜವಾಬ್ದಾರಿಯನ್ನು ಬಲವಂತವಾಗಿ ಹೊರಿಸು
ತಲೆಗೆ ಬರು	ತೊಂದರೆಯಾಗು
ತಲೆಗೆ ಹಚ್ಚಿಕೊಳ್ಳು	ಚಿಂತಿಸು, ಬಹಳ ಯೋಚಿಸು
ತಲೆಗೆ ಹತ್ತು	ತಿಳಿವಳಿಕೆಯುಂಟಾಗು
ತಲೆಗೆ ಹಾಕಿಕೊಳ್ಳು	ಗಮನಕೊಡು
ತಲೆಗೇರಿಸು	ಹೆಚ್ಚು ಸಲಿಗೆ ಕೊಡು
ತಲೆಗೇರು	ಹೆಚ್ಚಾಗು, ಮಿತಿಮೀರು
ತಲೆಚಿಟ್ಟು ಹಿಡಿ	ಅಸಹನೆ, ಜುಗುಪ್ಪೆಯಾಗು
ತಲೆ ತಗ್ಗಿಸು	ಸಮ್ಮತಿಸು, ಒಪ್ಪು
ತಲೆ ತಣ್ಣಗಾಗು	ಸಮಾಧಾನವಾಗು
ತಲೆತಿಕ್ಕು	ದುರ್ಬೋಧನೆ ಮಾಡು
ತಲೆ ತಿನ್ನು	ತೊಂದರೆ ಕೊಡು, ಬೇಸರ ಬರುವಂತೆ ಮಾಡು
ತಲೆ ತಿರುಕ	ತನಗೆ ಇಷ್ಟ ಬಂದಂತೆ ಕೆಲಸ ಮಾಡುವವ
ತಲೆ ತಿರುಗು	ಅಹಂಕಾರ ಬರು, ದರ್ಪಿಸು
ತಲೆದಂಡ	ಶಿಕ್ಷೆ ಮರಣ ದಂಡನೆ
ತಲೆದೂಗು	ಮೆಚ್ಚು ಮೆಚ್ಚುಗೆ ತೋರಿಸು
ತಲೆ ನಿಲ್ಲದಿರು	ಅಹಂಕಾರ, ಗರ್ವ
ತಲೆ ಬಿಸಿಯಾಗು	ಹೆಚ್ಚು ಆಯಾಸವಾಗು, ಬಹಳ ಶ್ರಮವಾಗು
ತಲೆ ಬೋಳಿಸು	ನಷ್ಟವನ್ನುಂಟು ಮಾಡು
ತಲೆ ಭಾರವಾಗು	ಚಿಂತೆಯಿಂದ ತಲೆನೋವು ಬರುವುದು
ತಲೆ ಮರೆಸಿಕೊಳ್ಳು	ಕಾಣದಂತೆ ಇರು, ಅಡಗಿಕೊಳ್ಳು
ತಲೆ ಮಾಸಿದವ	ಕೆಲಸಕ್ಕೆ ಬರದವ
ತಲೆ ಮೇಲೆ ಬರು	ಅಪವಾದ ಬರು
ತಲೆಯ ಮೇಲೆ ಕೂರು	ಒತ್ತಾಯಿಸು, ಅತಿ ಸಲಿಗೆ ತೋರಿಸು
ತಲೆಯ ಮೇಲೆ ಕೈಯಿಡು	ಮೋಸ ಮಾಡು
ತಲೆಯ ಮೇಲೆ ಬೀಳು	ಜವಾಬ್ದಾರಿ ಹೊರುವಂತಾಗು
ತಲೆಯ ಮೇಲೆ ಮೆಣಸು ಅರೆ	ಅತಿಯಾಗಿ ತೊಂದರೆ ನೀಡು
ತಲೆಯ ಮೇಲೆ ಹೊತ್ತುಕೊಳ್ಳು	ಹೆಚ್ಚು ಜವಾಬ್ದಾರಿಯನ್ನು ಹೊರು
ತಲೆ ಅಲ್ಲಾಡಿಸು	ಸಮ್ಮತಿಸು
ತಲೆಯಲ್ಲೇ ಮೆರೆ	ಅಹಂಕಾರದಿಂದ ವರ್ತಿಸು
ತಲೆ ಉಳಿಸಿಕೋ	ಅಪಾಯದಿಂದ ಪಾರಾಗು
ತಲೆಯೆತ್ತಿತಿರುಗು	ಮರ್ಯಾದೆಯಿಂದ ಜೀವನ ನಡೆಸು
ತಲೆಯೆತ್ತಿ ನಿಲ್ಲು	ಸ್ಥಾಪನೆಯಾಗು, ಆತ್ಮವಿಶ್ವಾಸ ಬರು, ಗೌರವದಿಂದಿರು
ತಲೆಯೆಲ್ಲಾ ಮಾತನಾಡು	ವಿಪರೀತ ಮಾತನಾಡು, ಅನವಶ್ಯಕವಾಗಿ ಮಾತನಾಡು
ತಲೆಯೊಡ್ಡು	ಗುರಿಯಾಗು, ಜವಾಬ್ದಾರಿ ಹೊರು
ತಲೆಸವರು	ಕನಿಕರ ತೋರಿಸು, ಸಮಾಧಾನ ಮಾಡು
ತಲೆಸುತ್ತು	ಅಹಂಕಾರ ತೋರು
ತಲೆ ಹರಟೆ	ಅತಿಯಾಗಿ ಮಾತನಾಡುವವ, ಅಧಿಕಪ್ರಸಂಗಿ
ತಲೆಹಾಕು	ನಡುವೆ ಪ್ರವೇಶಿಸು
ತಲೆ ಹಿಡಿ	ವ್ಯಭಿಚಾರಕ್ಕೆ ಪ್ರೇರೇಪಣೆ ನೀಡು
ತಲೆಹೋಕ	ವಂಚಕ, ಧೂರ್ತ
ತಲೆಹೋಗು	ಪ್ರಾಣಹೋಗು, ತೊಂದರೆಯುಂಟಾಗು
ತಳಕೀಳು	ಸ್ಥಾನಪಲ್ಲಟವಾಗು, ದೂರವಾಗು
ತಳಕು ಹಾಕು	ಸಂಬಂಧಕಲ್ಪಿಸು
ತಳ ಮುಟ್ಟಿಸು	ಎದೆಗುಂದುವಂತೆ ಮಾಡು, ಕುಗ್ಗಿಸು
ತಳವೂರು	ಕುಳಿತುಕೋ, ಅಲ್ಲಿಯೇ ಇರು
ತಳ ಹತ್ತು	ಮೂಲವನ್ನು ತಿಳಿ, ನೆಲೆಯನ್ನು ತಿಳಿ
ತಳ್ಳಿಬಿಡು	ಕಡೆಗಣಿಸು, ನಿರಾಕರಿಸು
ತಳ್ಳಿಹಾಕು	ನಿರಾಕರಿಸು, ನಿರ್ಲಕ್ಷಿಸು
ತಾಂಡವವಾಡು	ಹರಡು, ವ್ಯಾಪಿಸು, ವ್ಯಕ್ತವಾಗು
ತಾಜಾ ಮಾಡು	ಪುಸಲಾಯಿಸು, ಗಿಲೀಟು ಮಾಡು
ತಾತನ ಕಾಲದವ	ಕಂದಾಚಾರಿ, ಹಳೆಯ ಕಾಲದವ
ತಾರಮ್ಮಯ್ಯ ಹಾಡು	ಪರೋಕ್ಷವಾಗಿ ಇಲ್ಲವೆಂದು ಹೇಳು
ತಾರಾಬಲ	ಅದೃಷ್ಟ ಭಾಗ್ಯ
ತಾಳತಂತಿ	ಹೊಂದಾಣಿಕೆ
ತಾಳ ಹಾಕು	ಹೇಳಿದ್ದಕ್ಕೆಲ್ಲ ಹೂಂ ಗುಟ್ಟು
ತಿಂಗಳು ತುಂಬು	ಗರ್ಭಕಟ್ಟು ಹೆರಿಗೆಯ ವೇಳೆ ಸನ್ನಿಹಿತವಾಗು
ತಿಂದು ತೇಗು	ಬೇರೆಯವರ ಆಸ್ತಿಯನ್ನು ಎತ್ತಿಹಾಕು
ತಿಂದು ಹಾಕು	ನಾಶಮಾಡು, ಹಾಳುಮಾಡು
ತಿಥಿ ಮಾಡು	ಹಿಂಸೆ ಕೊಡು, ಕಷ್ಟಕ್ಕೆ ಒಳಪಡಿಸು
ತಿದಿಯೂದು	ಪ್ರೋತ್ಸಾಹಿಸು, ಒತ್ತಾಯಿಸು
ತಿಪ್ಪರಲಾಗ ಹಾಕು	ಕಷ್ಟಪಡು / ತಿರುಪು ಲಾಗ ಹಾಕು
ತಿಪ್ಪೆ ಕೆದರು	ಹಳೆಯ ವಿಷಯಗಳನ್ನು ಹೊರಗೆ ಹಾಕು
ತಿಪ್ಪೆ ಸಾರಿಸು	ದೋಷಗಳನ್ನು ಮುಚ್ಚಿಟ್ಟು ತೋರಿಸು
ತಿಪ್ಪೆ ಪಾಲಾಗು	ಬಡತನ ಬರು, ದರಿದ್ರನಾಗು
ತಿರುಕನ ಕನಸು	ಈಡೇರದ ಆಸೆ, ಬಯಕೆ
ತಿರುಗಾಲು	ಬಹಳಷ್ಟು ಅಲೆಯುವವ
ತಿರುಗಿ ಬೀಳು	ಎದುರು ಹೇಳು, ಪ್ರತಿಭಟಿಸು
ತಿರುಪತಿ ಆಗು	ನಷ್ಟವಾಗು, ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳು
ತಿರುಪತಿ ಕ್ಷೌರ	ಅರ್ಧಂಬರ್ಧ ಮಾಡುವ ಕೆಲಸ
ತಿರುಪೆ ಎತ್ತು	ಭಿಕ್ಷೆ ಬೇಡು
ತಿರುಮಂತ್ರ	ಹೇಳಿದವನಿಗೆ ಕಲಿತದ್ದನ್ನು ಮರಳಿ ಕಲಿಸು
ತಿಲಕಪ್ರಾಯ	ಭೂಷಣವಾದುದು, ಉತ್ತಮವಾದುದು
ತಿಲಾಂಜಲಿ ನೀಡು	ಮರೆತು ಬಿಡು
ತಿಲೋದಕ ಬಿಡು	ಮರೆತು ಬಿಡು, ಬಿಟ್ಟು ಬಿಡು
ತೀರಿಕೊಳ್ಳು	ಮರಣ ಹೊಂದು
ತುಂಬಿದ ಕೊಡ	ಜಂಬವಿಲ್ಲದಿರುವವ
ತುಂಬಿದ ಸಂಸಾರ	ಹೆಂಡತಿ ಮಕ್ಕಳಿಂದ ಕೂಡಿದ ಸಂಸಾರ
ತಂಬು ಹೃದಯ	ಒಳ್ಳೆಯ ಮನಸ್ಸಿನಿಂದ
ತುಟಿ ಎರಡು ಮಾಡು	ಬಾಯಿ ಬಿಡು
ತುಟಿ ಕಚ್ಚಿಕೊಳ್ಳು	ಮಾತಿನ ತಪ್ಪು ಅರಿವಾಗಿ ತಕ್ಷಣ ನಿಲ್ಲಿಸು
ತುಟಿಗಳ ಮೇಲೆ ಬೆರಳಿಡು	ಸುಮ್ಮನಿರಲು ಸೂಚಿಸು
ತುಟಿ ಚಪ್ಪರಿಸು	ಆಸೆ ಬರು, ತಿನ್ನಲು ಬಯಕೆಯಾಗು
ತುಟಿ ಪಿಟಕ್ಕೆನ್ನದಿರು	ಮಾತನಾಡದಿರುವುದು
ತುಟಿ ಬಿಗಿಹಿಡಿ	ಹೆಚ್ಚಿಗೆ ಮಾತನಾಡದಿರುವುದು
ತುಟಿ ಮೀರು	ಮಿತಿ ಮೀರು
ತುಟಿಯಲ್ಲೇ ನಗು	ಕುಹಕವಾಗಿ ನಗು
ತುಟಿ ಹೊಲಿದುಕೊಳ್ಳು	ಮಾತನಾಡದೇ ಇರು
ತುತ್ತಿನ ಚೀಲ	ಹೊಟ್ಟೆ ಹಸಿವು
ತುತ್ತೂರಿ ಊದು	ಸ್ವ ಪ್ರಶಂಸೆ ಮಾಡಿಕೊಳ್ಳು, ತನ್ನ ಬಗ್ಗೆ ತಾನೇ ಪ್ರಚಾರ ಕೊಟ್ಟುಕೊಳ್ಳುವುದು
ತುದಿಗಾಲ ಮೇಲೆ ನಿಲ್ಲು	ಸಿದ್ಧವಾಗು
ತೂಕ ಕೆಡಿಸು	ಆರೋಗ್ಯ ಹಾಳುಮಾಡು
ತೂಕವಿರು	ಅಧಿಕಾರವಿರು, ಗೌರವವಿರು
ತೂಗಿ ನೋಡು	ಯೋಗ್ಯತೆಯನ್ನು ಪರೀಕ್ಷಿಸು
ತೂತು ಮುಚ್ಚು	ದೋಷಗಳನ್ನು ಮುಚ್ಚಿಡು
ತೃಣಪ್ರಾಯ	ಬಹಳ ಅಲ್ಪವಾದುದು, ಸ್ವಲ್ಪ
ತೆರೆ ಎಳೆ	ಮುಗಿಸು, ತೀರ್ಮಾನಿಸು, ಕೊನೆಗೊಳಿಸು
ತೆರೆದ ಪುಸ್ತಕ	ಮುಚ್ಚು ಮರೆ ಏನೂ ಇಲ್ಲದಿರುವುದು
ತೆರೆಯ ಮರೆ	ಮುಚ್ಚು ಮರೆ, ಗುಟ್ಟು ರಹಸ್ಯ
ತೇಪೆ ಕೆಲಸ	ಅರ್ಧಂಬರ್ಧ ಮಾಡಿದ ಕೆಲಸ
ತೇಪೆ ಹಾಕು	ದುರಸ್ಥಿ ಮಾಡು
ತೇಲುಗಣ್ಣು ಮೇಲುಗಣ್ಣು ಬಿಡು	ಬಹಳ ಸುಸ್ತಾಗು, ಆಯಾಸವಾಗು, ಮರಣಕ್ಕೆ ಹತ್ತಿರವಾಗು
ತೊಟ್ಟಿಲಿಗೆ ತಾಳಿ ಕಟ್ಟಿಸು	ಬಾಲ್ಯದಲ್ಲೇ ವಿವಾಹ ಮಾಡು
ತೊಡೆ ತಟ್ಟಿ ನಿಲ್ಲು	ಜಗಳಕ್ಕೆ ನಿಲ್ಲು
ತೊಳಸಂಬಟ್ಟೆ	ಸರಿಯಿಲ್ಲದಿರುವುದು, ಹೊಂದಾಣಿಕೆಯಿಲ್ಲದಿರುವುದು
ತೊಳೆದ ಕೆಂಡ	ಅತಿಯಾದ ಕಪ್ಪು ಮೈ
ತೊಳೆದ ಮುತುತಿ	ಶುಭ್ರವಾದುದು
ತೊಳೆದುಕೊಳ್ಳು	ಹಾಳು ಮಾಡಿಕೊಳ್ಳುವುದು
ತೋಡಿಕೊಳ್ಳು	ಮನಸ್ಸಿನಲ್ಲಿರುವುದನ್ನು ಹೇಳಿಕೊಳ್ಳುವುದು
ತೋಳು ಮುರಿ	ಅಸಹಾಯಕನಾಗು
ತೋಳೇರಿಸು	ಯುದ್ಧಕ್ಕೆ ಸಿದ್ಧನಾಗು, ಜಗಳಕ್ಕೆ ಸಿದ್ಧನಾಗು
ತೌಡು ಕುಟ್ಟು	ವ್ಯರ್ಥವಾಗಿ ಮಾತನಾಡು, ಮೂರ್ಖತನ
ತ್ರಿಶಂಕು ಸ್ವರ್ಗ	ಅತ್ತಲೂ ಇಲ್ಲ: ಇತ್ತಲೂ ಇಲ್ಲ ಎಂಬಂಥಹ ಸ್ಥಿತಿ
ದಂಗುಬಡಿ	ಆಶ್ಚರ್ಯಪಡು
ದಂಡಪಿಂಡ	ವ್ಯರ್ಥವಾಗಿ ತಿಂದು ಜೀವಿಸುವವ
ದಂಡಯಾತ್ರೆ	ಪದೇಪದೇ ಅನುತ್ತೀರ್ಣನಾಗುವುದು
ದಂಡೆಗೆ ಹಚ್ಚು	ಸರಿದಾರಿಗೆ ತರು
ದಂಡೆ ಸೇರು	ಕೊನೆಗಾಣು, ಗುರಿಮುಟ್ಟು
ದಗಾ ಹಾಕು	ವಂಚಿಸು, ಮೋಸಮಾಡು
ದಡ ಕಾಣು	ಗುರಿ ಮುಟ್ಟು ಕೊನೆಗಾಣು
ದಡ್ಡ ಶಿಖಾಮಣಿ	ಮೂರ್ಖ, ತುಂಬ ದಡ್ಡ
ದಪ್ಪ ಚರ್ಮ	ಯಾವುದಕ್ಕೂ ಬಗ್ಗದವ
ದಮ್ಮಯ್ಯ ಗುಡ್ಡೆ ಹಾಕು	ಗೋಗರೆ, ಬೇಡು, ಯಾಚಿಸು
ದಮ್ಮು ಕಳೆದುಕೊಳ್ಳು	ಶಕ್ತಿಗುಂದು
ದರ್ಬಾರು ನಡೆಸು	ಅಧಿಕಾರ ನಡೆಸು, ಜಬರದಸ್ತು ಮಾಡು
ದಾರಿ ಕಾಣು	ಉಪಾಯ ಹೊಳೆ
ದಾರಿ ಕಾಯು	ಯಾರದಾದರೂ ಬರವನ್ನು ಎದಿರು ನೋಡುವುದು
ದಾರಿಗೆ ತರು	ಒಳ್ಳೆಯ ನಡತೆಯನ್ನು ಕಲಿಸುವುದು
ದಾರಿಗೆ ಬರು	ಸರಿಯಾದ ದಾರಿಯನ್ನು ಕಲಿಯುವುದು
ದಾರಿಗೆ ಹಚ್ಚು	ಸರಿಯಾದ ಮಾರ್ಗದಲ್ಲಿ ನಡೆಸು
ದಾರಿ ತಪ್ಪಿಸು	ಕೆಟ್ಟದಾರಿಗೆ ಕರೆದೊಯ್ಯು
ದಾರಿ ತಪ್ಪು	ಕೆಟ್ಟ ದಾರಿಯಲ್ಲಿ ನಡೆ
ದಾರಿ ತೋರಿಸು	ಜೀವನ ನಡೆಸಲು ಸರಿಯಾದ ಮಾರ್ಗ ತೋರಿಸು
ದಿಕ್ಕಾಗು	ಆಶ್ರಯವಾಗು, ನೆರವಾಗು
ದಿಕ್ಕು ತಪ್ಪಿಸು	ತಪ್ಪುದಾರಿಗೆ ಕರೆದೊಯ್ಯು
ದಿಕ್ಕುತೋಚದಿರು	ದಾರಿಕಾಣದಂತಾಗು
ದಿನ ಎಣಿಸು	ಸಾವನ್ನು ಎದಿರು ನೋಡುವುದು, ಕೊನೆಗಾಲ ಹತ್ತಿರ ಬರು
ದಿನ ತಳ್ಳು	ವೇಳೆಯನ್ನು ಕಳೆಯುವುದು
ದಿನ ನೂಕು	ಕಷ್ಟಪಟ್ಟು ಜೀವನ ಸಾಗಿಸು
ದಿನ ಸಾಗು	ಬದುಕು ಹೇಗೋ ನಡೆಯುವುದು
ದಿವಾಳಿ ಏಳು	ಎಲ್ಲವನ್ನು ಕಳೆದುಕೊಳ್ಳುವುದು, ಇರುವುದನ್ನು ನಷ್ಟ ಮಾಡಿಕೊಳ್ಳುವುದು
ದೀಪ ಬೆಳೆಸು	ಅಭಿವೃದ್ಧಿಗೊಳಿಸು, ವಂಶವನ್ನು ಬೆಳೆಸು
